equipo,ts,combustion_air_temp,efficiency,firing_rate,oxigeno_actual,setpoint,stack_temp,steam_pres,steam_total,vfd_frequency,water_outdoor_ret_temp
caldera-1,"2024-03-02T17:18:25,241",79.2,77.2,0,8.9,123,378.6,124.7,38695,48.3,347.6
caldera-1,"2024-03-02T17:18:26,207",79.3,77.2,0,9,123,378.6,124.7,38699,48.3,347.5
caldera-1,"2024-03-02T17:18:27,207",79.3,77.2,0,9,123,378.6,124.7,38699,48.3,347.5
caldera-1,"2024-03-02T17:18:28,208",79.5,77.2,0,9,123,378.5,124.7,38699,48.3,347.5
caldera-1,"2024-03-02T17:18:29,207",79.5,77.2,0,9,123,378.5,124.7,38699,48.3,347.6
caldera-1,"2024-03-02T17:18:30,241",79.5,77.2,0,8.9,123,378.5,124.7,38699,48.3,347.6
caldera-1,"2024-03-02T17:18:31,223",79.6,77.2,0,9,123,378.5,124.7,38699,48.3,347.6
caldera-1,"2024-03-02T17:18:32,240",79.6,77.2,0,9,123,378.5,124.7,38699,48.3,347.7
caldera-1,"2024-03-02T17:18:33,240",79.6,77.2,0,9,123,378.3,124.7,38699,48.3,347.7
caldera-1,"2024-03-02T17:18:34,224",79.6,77.2,0,9,123,378.3,124.7,38703,48.3,347.7
caldera-1,"2024-03-02T17:18:35,240",79.6,77.3,0,8.9,123,378.3,124.7,38704,48.3,347.7
caldera-1,"2024-03-02T17:18:36,239",79.6,77.3,0,8.9,123,378.3,124.8,38704,48.3,347.7
caldera-1,"2024-03-02T17:18:37,239",79.6,77.3,0,8.9,123,378.3,124.8,38704,48.3,347.7
caldera-1,"2024-03-02T17:18:38,239",79.6,77.2,0,9,123,378.3,124.8,38704,48.3,347.7
caldera-1,"2024-03-02T17:18:39,206",79.5,77.2,0,9,123,378.3,124.8,38704,48.3,347.6
caldera-1,"2024-03-02T17:18:40,224",79.4,77.3,0,8.9,123,378.2,124.8,38704,48.3,347.7
caldera-1,"2024-03-02T17:18:41,223",79.4,77.3,0,8.9,123,378.2,124.9,38705,48.3,347.7
caldera-1,"2024-03-02T17:18:42,241",79.5,77.2,0,9,123,378.2,124.9,38710,48.3,347.7
caldera-1,"2024-03-02T17:18:43,239",79.5,77.2,0,9,123,378.2,124.9,38710,48.3,347.7
caldera-1,"2024-03-02T17:18:44,206",79.3,77.2,0,9,123,378.2,124.9,38710,48.3,347.7
caldera-1,"2024-03-02T17:18:45,239",79.3,77.3,0,8.9,123,378.2,124.9,38710,48.3,347.8
caldera-1,"2024-03-02T17:18:46,240",79.2,77.3,0,8.9,123,378.2,124.9,38710,48.3,347.8
caldera-1,"2024-03-02T17:18:47,206",79.2,77.2,0,9,123,378.2,124.9,38710,48.3,347.8
caldera-1,"2024-03-02T17:18:48,240",79.1,77.3,0,8.9,123,378.2,124.9,38710,48.3,347.8
caldera-1,"2024-03-02T17:18:49,206",79.1,77.2,0,9,123,378.2,124.9,38711,48.3,347.8
caldera-1,"2024-03-02T17:18:50,239",79.1,77.2,0,8.9,123,378.2,124.9,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:51,206",79.1,77.3,0,8.9,123,378.2,124.9,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:52,239",79,77.2,0,9,123,378.1,125,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:53,239",78.9,77.3,0,8.9,123,378.1,125,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:54,241",78.8,77.2,0,8.9,123,378.1,125,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:55,222",78.8,77.2,0,9,123,378.1,125,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:56,206",78.8,77.3,0,8.9,123,378.1,125,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:57,239",78.7,77.3,0,8.9,123,378.1,125.1,38715,48.3,347.8
caldera-1,"2024-03-02T17:18:58,239",78.7,77.2,0,9,123,378.1,125.1,38719,48.3,347.8
caldera-1,"2024-03-02T17:18:59,239",78.7,77.2,0,8.9,123,378.1,125.1,38721,48.3,347.8
caldera-1,"2024-03-02T17:19:00,238",78.5,77.2,0,8.9,123,378.1,125.1,38721,48.3,347.8
caldera-1,"2024-03-02T17:19:01,239",78.6,77.3,0,8.9,123,378.1,125,38721,48.3,347.9
caldera-1,"2024-03-02T17:19:02,222",78.6,77.3,0,8.9,123,378.1,125,38721,48.3,347.9
caldera-1,"2024-03-02T17:19:03,239",78.5,77.2,0,8.9,123,378.1,125,38721,48.3,347.9
caldera-1,"2024-03-02T17:19:04,240",78.5,77.2,0,8.9,123,378.1,125,38721,48.3,347.9
caldera-1,"2024-03-02T17:19:05,239",78.5,77.2,0,8.9,123,378.1,125.1,38722,48.3,347.9
caldera-1,"2024-03-02T17:19:06,308",78.4,77.2,0,8.9,123,378.1,125.1,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:07,238",78.3,77.3,0,8.9,123,378.1,125.1,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:08,222",78.3,77.3,0,8.8,123,378.1,125.1,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:09,239",78.2,77.2,0,8.9,123,378.1,125.2,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:10,238",78.2,77.3,0,8.9,123,378.1,125.2,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:11,221",78.2,77.2,0,8.9,123,378.1,125.2,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:12,222",78.2,77.2,0,8.9,123,378.1,125.2,38726,48.3,347.9
caldera-1,"2024-03-02T17:19:13,239",78.2,77.3,0,8.9,123,378.1,125.1,38727,48.3,347.9
caldera-1,"2024-03-02T17:19:14,238",78.1,77.2,0,8.9,123,378.1,125.1,38732,48.3,347.9
